name1,name2,street1,street2,city,state,zip,zip4,county,phone,intake+AF8-prompt,intake1,intake2,hotline+AF8-prompt,hotline1,hotline2,website,dir+AF8-prefix,dir+AF8-first,dir+AF8-mi,dir+AF8-last,dir+AF8-suffix,dir+AF8-title,dir+AF8-phone,dir+AF8-fax,dir+AF8-email,mail+AF8-street1,mail+AF8-street2,mail+AF8-city,mail+AF8-state,mail+AF8-zip,mail+AF8-zip4,latitude,longitude,type+AF8-facility,last+AF8-update,adlt,chld,snr,yad,act,cdm,cm,coot,dec,es,fpsy,hs,icm,imr,ipc,lad,nrt,nsc,peer,prs,semp,sh,sps,stu,tcc,tpc,vrs,cit,wi,bmo,du,duo,mo,ih,lmg,osg,sma,tbg,vamc,fem,male,atr,clf,cmhg,csbg,ihs,mc,md,mi,np,osf,pi,scjj,sef,sf,si,smha,swfs,vaf,ghf,mhf,mhsaf,saf,pa,ss,cmhc,ct,hi,hid,hit,msnh,od,odt,oit,omb,omh,op,ores,ort,ph,psy,rd,res,rl,rs,rtca,rtcc,ad,adm,alz,bc,cj,co,dv,gl,hv,mf,mn,ped,ptsd,pw,se,sed,smi,tay,tbi,trma,vet,wn,xa,ah,fx,nx,sp,smon,smop,smpd,at,bmt,cbt,cft,dbt,ect,gt,idd,ipt,ptm,tele,tt,bu,dm,dt,hh,mh,mm,nxn,otpa,sa,vtrl
Providence Adolescent,Residential Treatment Program,3210 West 62nd Avenue,,Anchorage,AK,99502,,Anchorage,907+AC0-212+AC0-2040,Intake,907+AC0-212+AC0-2040,,,,,,,Renee,,Rafferty,,,,,,3400 East 20th Avenue,,Anchorage,AK,99508,,61.164525,+AC0-149.939064,MH,3/5/2015 19:48:32,,1,,,,,,,1,1,1,,,,,,,,,1,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,1,,,1,,,1,,1,1,,1,,,,,1,,,,,
Stolt,,1000 East 4th Avenue,,Anchorage,AK,99501,,Anchorage,907+AC0-762+AC0-8699,Intakes,907+AC0-563+AC0-1000,907+AC0-762+AC0-8699,,,,,,John,,Sperbeck,,,,,,,,,,,,61.218261,+AC0-149.864433,MH,3/5/2015 19:48:32,1,,1,1,,1,1,,1,1,1,1,1,,,1,,,1,1,1,1,1,1,,,1,1,1,,,,,,,,,,,,,,,1,,,1,1,,,1,1,1,,1,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,1,,1,1,,,1,1,,1,,1,1,1,,1,,,1,1,,1,,,1,1,,1,,,,1,1,1,1,,1,,,,,1,,,,,
Providence Alaska Medical Center,Behavioral Health,3200 Providence Drive,,Anchorage,AK,99519,4615,Anchorage,907+AC0-212+AC0-3090,Intake,907+AC0-212+AC0-3090,,,,,,,Cynthia,,Gough,,,,,,,,,,,,61.188096,+AC0-149.819835,MH,3/5/2015 19:48:32,1,1,1,1,,,1,,1,1,1,,,1,1,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,,1,1,1,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,1,,,1,,1,1,1,,1,1,,1,1,1,1,1,,1,,,1,,,,1,,,1,,1,1,1,,1,1,1,1,,1,,,,,1,,,,,
Bartlett Regional Hospital,Mental Health Unit,3260 Hospital Drive,,Juneau,AK,99801,,Juneau,907+AC0-796+AC0-8430,,,,,,,http://www.bartletthospital.org/,,Jennifer,,Brown,,,,,,,,,,,,58.329052,+AC0-134.46516,MH,3/5/2015 19:48:32,1,,1,1,,,1,,1,,1,,,,1,,1,1,,,,,1,1,1,,,,,,,,,,1,,,,,,,,,,,,1,1,1,,,1,,,1,1,1,,,,1,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,1,1,1,1,1,,1,1,1,1,,1,,,,,1,,,,,
Youth Advocates of Sitka,,805 Lincoln Street,,Sitka,AK,99835,,Sitka,907+AC0-747+AC0-3687,Intake,907+AC0-747+AC0-2899,,,,,www.sitkayouth.org,,Annette,,Becker,,Clinical Supervisor,,,,805 Lincoln Street,,Sitka,AK,99835,,57.050435,+AC0-135.323327,MH,7/6/2015 12:20:36,,1,,1,1,,1,1,1,1,1,1,1,1,,,1,,,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,1,1,1,,,1,1,,,1,1,,1,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,,1,,,,,,,,,,1,,,1,1,1,1,1,,1,1,1,1,,1,,,,,1,,,,,
Presbyterian Hospitality House,,209 Forty Mile Avenue,Suite 100,Fairbanks,AK,99701,3110,Fairbanks North Star,907+AC0-456+AC0-6445,Intake,907+AC0-456+AC0-6445,,,,,,,Drenda,,Tigner,,,,,,,,,,,,64.846821,+AC0-147.703496,MH,3/5/2015 19:48:32,,1,,1,,,1,,,1,1,1,1,,,,,,,1,,1,1,1,,1,,,,,,,,,,,,,,,,,1,1,1,,1,,1,,1,1,1,1,1,1,1,1,1,,1,,,1,1,,,,,,1,,,,,,1,1,,,,,1,,,,,,,,,1,1,,1,,1,,1,1,,,1,1,1,1,,,,,,,,,1,,,1,1,1,1,1,,1,,1,,1,1,,,,,1,,,,,
Hope Community Resources,,540 West International Airport Road,Suite 100,Anchorage,AK,99518,,Anchorage,907+AC0-561+AC0-5335,Intakes,800+AC0-478+AC0-4893,907+AC0-433+AC0-4800,,,,www.hopealaska.org,,Kristi,,Seymour,,,,,,540 West International Airport Road,Suite 100,Anchorage,AK,99518,,61.17322,+AC0-149.893212,MH,3/5/2015 19:48:32,1,1,1,1,,,1,,,,1,1,1,,1,,,,,1,1,1,1,1,,1,1,,,,,,,,,,,,,,,,,1,1,,1,1,1,,1,1,,,1,1,1,1,,,1,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,1,,1,1,1,1,,,,,,,,,,,,1,1,1,1,1,1,,1,,1,,1,1,,,,,1,,,,,
Co+AC0-Occurring Disorders Institute Inc,,11921 East Palmer Wasilla Highway,,Palmer,AK,99645,,Matanuska Susitna,907+AC0-745+AC0-2634,Intake,907+AC0-745+AC0-2634,,,,,http://www.codialaska.org/,,Aaron,,Clements,,,,,,P.O. Box 1907,,Palmer,AK,99645,,61.600275,+AC0-149.150782,MH,3/5/2015 19:48:32,,1,,,,,1,1,,1,1,,1,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,1,1,1,,,1,1,,1,1,1,1,1,1,,1,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,1,,1,1,,,1,,,1,,,,,,,,,1,,,1,1,1,1,1,,1,1,1,,1,1,,,,,1,,,,,
Community Connections,,721 Stedman Street,,Ketchikan,AK,99901,,Ketchikan Gateway,907+AC0-225+AC0-7825,Intake,907+AC0-225+AC0-7825,,,,,www.comconnections.org,,Abbie,,Blackshire,,,,,,201 Deermont Street,,Ketchikan,AK,99901,,55.338278,+AC0-131.634657,MH,4/29/2015 14:44:23,1,1,1,1,,,1,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,1,,1,1,1,,1,1,1,1,1,,1,,,,1,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,1,1,1,1,,,1,,1,1,1,1,,,,,1,,,,,
North Star DeBarr Hospital,,2530 Debarr Road,,Anchorage,AK,99508,,Anchorage,907+AC0-258+AC0-7575,Intakes,907+AC0-258+AC0-7575+AC0-3506,800+AC0-478+AC0-7575,,,,,Dr,M. Andrew, ,Mayo,,,,,,,,,,,,61.207922,+AC0-149.833549,MH,3/5/2015 19:48:32,,1,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,1,,,1,,,1,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,1,1,,1,,1,1,1,1,,,,,1,,,,,
Community Connections,,1800 CK Highway,Suite 241,Craig,AK,99921,,Prince of Wales Hyder,907+AC0-826+AC0-3891,Intake,907+AC0-826+AC0-3891,,,,,http://www.comconnections.org/,,Abbie,,Blackshire,,,,,,P.O. Box 420,,Craig,AK,99921,0420,55.476389,+AC0-133.148333,MH,3/5/2015 19:48:32,1,1,1,1,,,1,1,,,1,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,1,,1,,1,1,1,,1,1,1,1,1,1,1,1,,,1,,,1,1,,,,,,1,,,,,,1,1,,1,,,1,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,1,,,1,,1,1,1,,1,,1,1,1,1,,,,,1,,,,,
North Star Bragaw Hospital,,1650 Bragaw Street,,Anchorage,AK,99508,3435,Anchorage,907+AC0-272+AC0-6206,Intakes,907+AC0-258+AC0-7575,800+AC0-478+AC0-7575,,,,,Dr,M,W, Andy Mayo,,,,,,,,,,,,61.20563,+AC0-149.80942,MH,3/5/2015 19:48:32,,1,,,,,,,1,1,1,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,,1,,,1,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,1,1,1,1,,1,,1,1,1,1,,,,,1,,,,,
E and A Inc,,8717 Dimond D Circle,,Anchorage,AK,99503,,Anchorage,907+AC0-771+AC0-0536,Intakes,907+AC0-771+AC0-0536,907+AC0-631+AC0-0526,,,,http://www.bridgescounseling.org/,Mr.,David,,James,,,,,,8717 Diamond D Circle,,Anchorage,AK,99507,,61.141948,+AC0-149.874464,MH,3/5/2015 19:48:32,1,1,,1,,1,,,1,1,1,,,1,1,,1,1,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,1,,1,1,1,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,1,1,,1,,1,,1,1,,,,,1,1,,1,,,1,,,1,1,,,1,1,1,1,1,,1,,1,1,1,1,,,,,1,,,,,
Denali Family Services,,6401 A Street,,Anchorage,AK,99518,,Anchorage,907+AC0-274+AC0-8281,Intakes,907+AC0-274+AC0-8281,907+AC0-222+AC0-2321,,,,,Ms,Christopher,E,Gunderson,,,,,,,,,,,,61.162639,+AC0-149.880118,MH,3/5/2015 19:48:32,,1,,1,,,1,,,,1,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,,1,1,1,1,,,1,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,1,1,1,1,1,,1,,1,1,1,1,,,,,1,,,,,
Fairbanks Comm Mental Health Servs,,3830 Cushman Street,,Fairbanks,AK,99701,,Fairbanks North Star,907+AC0-452+AC0-1575,Intake,907+AC0-371+AC0-1300,,,,,http://www.acmhs.com+AFw-fairbanks+AC0-community+AC0-mental+AC0-health+AC0-services/,,,,,,,,,,4020 Folker Street,,Anchorage,AK,99508,,64.809517,+AC0-147.713214,MH,3/5/2015 19:48:32,1,1,1,1,,,1,1,,1,1,,,1,,,,,,1,,,1,1,,,,1,1,,,,,,,,,,,,,,1,1,1,,1,1,1,,1,1,1,,1,1,1,1,,,1,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,,,,,,1,,,,,,1,1,1,1,1,1,,1,,1,1,1,1,,,,,1,,,,,
Akeela Inc,,360 West Benson Boulevard,Suite 300,Anchorage,AK,99503,,Anchorage,907+AC0-565+AC0-1200,Intake,907+AC0-433+AC0-7080,,,,,,Ms,Courtney,,Citiona,,,,,,,,,,,,61.193883,+AC0-149.889832,MH,3/5/2015 19:48:32,1,1,1,1,1,1,1,1,1,,1,,1,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,,1,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,1,1,,,,,,,,,,1,,,1,1,1,1,1,,,1,1,1,1,1,,,,,1,,,,,
Denali Family Services,,291 East Swanson Street,,Wasilla,AK,99654,,Matanuska Susitna,907+AC0-274+AC0-8281,Intakes,907+AC0-222+AC0-2321,907+AC0-274+AC0-8281,,,,http://www.denalifs.org/,,Dan,,Bigley,,,,,,6401 A Street,,Anchorage,AK,99518,1824,61.583383,+AC0-149.444145,MH,3/5/2015 19:48:32,,1,,1,,,1,,,,1,,,1,,,,,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,1,,1,1,,1,,,1,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,1,,,,1,,,1,1,1,1,,,1,1,1,1,1,1,,,,,1,,,,,
Juneau Alliance for Mental Health Inc,,3406 Glacier Highway,,Juneau,AK,99801,,Juneau,907+AC0-463+AC0-3303,Intake,907+AC0-463+AC0-3303,,,,,http://www.jamhi.org,,Pamela,,Watts,,,,,,,,,,,,58.3319,+AC0-134.471,MH,3/5/2015 19:48:32,1,,1,1,,,1,1,,,,1,,,,1,,,,1,,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,,1,,1,,1,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,1,,,1,,,1,,,1,,1,,1,1,1,1,1,1,,,,,1,,,,,
AK Child and Family,,1920 East 24th Avenue,,Anchorage,AK,99508,,Anchorage,907+AC0-346+AC0-2101,Intake,907+AC0-346+AC0-2101,,,,,,,Anne,,Dennis+AC0-Choi,,,,,,4600 Abbott Road,,Anchorage,AK,99507,,61.19969,+AC0-149.845609,MH,3/5/2015 19:48:32,,1,,1,,,1,,1,1,1,,1,1,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,1,,,1,1,,,,,,,,,,,1,,,,1,1,1,1,,1,1,1,1,1,1,,,,,1,,,,,
AK Child and Family,,4600 Abbott Road,,Anchorage,AK,99507,,Anchorage,907+AC0-346+AC0-2101,Intake,907+AC0-346+AC0-2101,,,,,http://www.AKChild.org/,,Denis,,McCarville,,,,,,,,,,,,61.136565,+AC0-149.794464,MH,3/5/2015 19:48:32,,1,,1,,,1,,1,1,1,,1,1,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,1,,,,,,,1,,,1,1,,,,,,,,,,,1,,,,1,1,1,1,,1,1,1,1,1,1,,,,,1,,,,,
Gateway Center for Human Services,,3050 5th Avenue,,Ketchikan,AK,99901,,Ketchikan Gateway,907+AC0-225+AC0-4135,Intake,907+AC0-225+AC0-4135,,,,,http://www.akeela.us/,,Courtney,,Kitiona,,,,,,,,,,,,55.354024,+AC0-131.685173,MH,3/5/2015 19:48:32,1,1,1,1,,1,1,1,1,,1,,1,1,,1,,,,1,1,,1,1,1,1,,1,,,,,,,,,,,,,,,1,1,1,,1,1,,,1,1,1,1,1,1,1,1,,,1,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,1,,,1,1,1,1,1,,1,1,1,1,1,1,,,,,1,,,,,
Wasilla Behavioral Health Services,,301 East Donna Avenue,,Wasilla,AK,99654,,Matanuska Susitna,907+AC0-357+AC0-7519,Intake,907+AC0-357+AC0-7519,,,,,,,,,,,,,,,,,,,,,61.556762,+AC0-149.423443,MH,3/5/2015 19:48:32,,1,,1,,,1,1,,,,,,,,,,,,1,1,,1,,,1,1,1,,,,,,,,,,,,,,,1,,,,1,1,1,,1,1,,1,1,1,1,1,,,1,,,,1,,,,,,1,,,,,,1,1,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,1,,,1,1,1,1,1,,1,1,1,1,1,1,,,,,1,,,,,
Denali Family Services,,1251 Muldoon Road,Suite 116,Anchorage,AK,99504,,Anchorage,907+AC0-274+AC0-8281,Intakes,907+AC0-222+AC0-2321,907+AC0-274+AC0-8281,,,,www.denalifs.org,,Chris,,Gunderson,,,,,,1251 Muldoon Road,Suite A,Anchorage,AK,99504,,61.210668,+AC0-149.730548,MH,3/5/2015 19:48:32,,1,,1,,,1,,,,1,,,,,,,,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,,1,1,1,1,,,1,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,1,1,1,1,1,,1,1,1,1,1,1,,,,,1,,,,,
Mat Su Health Services,,1363 West Spruce Avenue,,Wasilla,AK,99654,,Matanuska Susitna,907+AC0-376+AC0-2411,,,,,,,,,Kevin,,Munson,,,,,,1363 West Spruce Avenue,,Wasilla,AK,99654,,61.601352,+AC0-149.485868,MH,7/1/2015 13:15:0,1,1,1,1,,1,1,1,1,1,1,,,,1,,1,1,,1,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,1,1,1,1,1,,,1,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,1,,,1,1,1,1,1,,1,1,1,1,1,1,,,,,1,,,,,
Adult Services,Anchorage Community Mental Health,4020 Folker Street,,Anchorage,AK,99507,,Anchorage,907+AC0-762+AC0-8621,Intake,907+AC0-563+AC0-1000,,,,,,,Dave,,Reeves,,,,,,,,,,,,61.184096,+AC0-149.831551,MH,3/5/2015 19:48:32,1,,1,1,,,1,1,1,,1,1,1,,,,,,,1,1,1,1,1,,,,,1,,,,,,,,,,,,,,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,,1,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,1,,1,,1,,,,,,,1,,,,,,1,1,1,1,1,1,,1,1,1,1,1,1,,,,,1,,,,,
Daybreak,,9210 Jupiter Drive,,Anchorage,AK,99507,,Anchorage,907+AC0-563+AC0-1000,Intake,907+AC0-346+AC0-2234,,,,,,,Jerry,,Jenkins,,,,,,,,,,,,61.136958,+AC0-149.797828,MH,3/5/2015 19:48:32,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,,1,1,,,1,,1,,1,,1,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,1,,1,,,1,1,1,1,1,,,1,,1,,,,,,,,,,,,,,1,,,,,
CHOICES Inc,,401 East Northern Lights Boulevard,Suite 211,Anchorage,AK,99503,,,907+AC0-333+AC0-4343,Intake,907+AC0-333+AC0-4343,,,,,http://choices+AC0-ak.org/,Ms,Melissa,,Stone,,,,,,,,,,,,61.195423,+AC0-149.876494,MH,3/5/2015 19:48:32,1,,1,1,,,1,,1,1,,1,1,,1,,1,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,,1,,,,1,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,1,,,,,,1,,,,,,,,,1,,,,,
